segment_id,name,description,criteria,created_by,created_at
46,Preventive Care 50-64 - Southeast,Preventive Care audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",147,2025-10-08T12:44:12
47,Neurology 65+ - Northeast,Neurology audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",437,2024-06-14T00:25:48
48,Oncology 65+ - National,Oncology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",45,2026-01-07T01:03:41
49,Pulmonology 50-64 - National,Pulmonology audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Pulmonology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",282,2025-06-12T14:48:24
50,Primary Care 50-64 - Southeast,Primary Care audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",364,2026-04-07T18:34:50
51,Pulmonology 35-49 - West,Pulmonology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",63,2024-09-20T14:32:44
52,Neurology 35-49 - Southwest,Neurology audience aged 35-49 in the Southwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",185,2025-06-21T19:42:29
53,Preventive Care 50-64 - West,Preventive Care audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",314,2026-03-05T07:32:54
54,Cardiology 18-34 - Midwest,Cardiology audience aged 18-34 in the Midwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Cardiology"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",368,2025-10-27T20:42:06
55,Dermatology 65+ - Southwest,Dermatology audience aged 65+ in the Southwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",38,2024-07-23T20:15:37
56,Cardiology 50-64 - Southwest,Cardiology audience aged 50-64 in the Southwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",349,2025-05-24T08:17:22
57,Oncology 50-64 - West,Oncology audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Oncology"", ""region"": ""West"", ""risk_profile"": ""High risk""}",301,2024-09-05T20:02:19
58,Dermatology 35-49 - West,Dermatology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",426,2024-07-22T22:31:51
59,Primary Care 35-49 - Southeast,Primary Care audience aged 35-49 in the Southeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",166,2026-04-13T12:46:34
60,Pulmonology 35-49 - West,Pulmonology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",434,2024-06-17T18:03:18
61,Neurology 50-64 - National,Neurology audience aged 50-64 in the National region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",141,2024-07-23T17:20:36
62,Cardiology 50-64 - West,Cardiology audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Cardiology"", ""region"": ""West"", ""risk_profile"": ""High risk""}",87,2025-07-21T04:06:32
63,Oncology 35-49 - National,Oncology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""High risk""}",369,2026-03-19T02:30:55
64,Diabetes 50-64 - Northeast,Diabetes audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Diabetes"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",24,2025-08-28T17:33:51
65,Neurology 50-64 - West,Neurology audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",317,2025-08-26T19:39:33
66,Preventive Care 18-34 - National,Preventive Care audience aged 18-34 in the National region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""National"", ""risk_profile"": ""High risk""}",149,2025-08-29T02:01:08
67,Preventive Care 50-64 - Southeast,Preventive Care audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",208,2024-12-04T12:34:09
68,Cardiology 65+ - National,Cardiology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Cardiology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",81,2025-03-24T22:50:25
69,Preventive Care 65+ - Southwest,Preventive Care audience aged 65+ in the Southwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",175,2025-08-01T16:58:01
70,Pulmonology 35-49 - National,Pulmonology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",376,2026-02-15T02:03:11
71,Dermatology 50-64 - Southeast,Dermatology audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",264,2025-06-27T17:56:15
72,Pulmonology 18-34 - Southeast,Pulmonology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",63,2024-11-11T06:02:00
73,Neurology 65+ - Southeast,Neurology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",26,2024-11-28T21:56:37
74,Dermatology 65+ - Southeast,Dermatology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",417,2024-12-27T19:50:45
75,Neurology 50-64 - Southeast,Neurology audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""Moderate risk""}",264,2025-04-15T02:03:52
76,Primary Care 65+ - Southwest,Primary Care audience aged 65+ in the Southwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",47,2025-02-16T22:33:56
77,Neurology 65+ - Southeast,Neurology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",181,2024-05-25T07:03:12
78,Primary Care 18-34 - Southwest,Primary Care audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Primary Care"", ""region"": ""Southwest"", ""risk_profile"": ""High risk""}",452,2026-02-01T03:51:22
79,Primary Care 65+ - West,Primary Care audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""West"", ""risk_profile"": ""Low risk""}",434,2024-07-09T23:53:27
80,Oncology 65+ - Midwest,Oncology audience aged 65+ in the Midwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""Midwest"", ""risk_profile"": ""High risk""}",188,2025-12-01T19:19:19
81,Pulmonology 65+ - Northeast,Pulmonology audience aged 65+ in the Northeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",27,2025-07-04T10:49:13
82,Pulmonology 35-49 - West,Pulmonology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",38,2025-02-11T14:03:50
83,Primary Care 65+ - West,Primary Care audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Primary Care"", ""region"": ""West"", ""risk_profile"": ""High risk""}",313,2024-07-18T18:47:52
84,Cardiology 35-49 - Southwest,Cardiology audience aged 35-49 in the Southwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Cardiology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",407,2025-01-05T21:00:29
85,Oncology 50-64 - Southeast,Oncology audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Oncology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",261,2025-02-23T06:23:51
86,Diabetes 18-34 - Northeast,Diabetes audience aged 18-34 in the Northeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Diabetes"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",366,2025-01-01T04:19:43
87,Preventive Care 65+ - Southeast,Preventive Care audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",458,2025-05-22T21:43:24
88,Pulmonology 35-49 - West,Pulmonology audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",84,2025-02-16T17:12:15
89,Pulmonology 50-64 - West,Pulmonology audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""High risk""}",273,2025-05-02T23:24:12
90,Preventive Care 50-64 - Northeast,Preventive Care audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",170,2025-09-22T20:39:41
91,Dermatology 18-34 - West,Dermatology audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Dermatology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",408,2026-03-16T14:13:59
92,Preventive Care 18-34 - Midwest,Preventive Care audience aged 18-34 in the Midwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Midwest"", ""risk_profile"": ""High risk""}",401,2025-12-11T08:42:31
93,Diabetes 35-49 - West,Diabetes audience aged 35-49 in the West region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Diabetes"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",88,2025-05-29T16:23:56
94,Oncology 65+ - National,Oncology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",17,2025-07-06T05:29:00
95,Neurology 18-34 - Northeast,Neurology audience aged 18-34 in the Northeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",161,2025-03-08T18:37:50
96,Dermatology 35-49 - National,Dermatology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",211,2025-05-12T06:35:36
97,Diabetes 65+ - National,Diabetes audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Diabetes"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",266,2024-09-25T13:07:46
98,Preventive Care 50-64 - West,Preventive Care audience aged 50-64 in the West region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",161,2024-08-30T00:21:15
99,Pulmonology 65+ - West,Pulmonology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Pulmonology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",347,2025-12-08T02:55:57
100,Preventive Care 50-64 - Southeast,Preventive Care audience aged 50-64 in the Southeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Preventive Care"", ""region"": ""Southeast"", ""risk_profile"": ""Low risk""}",143,2025-06-24T23:29:21
101,Neurology 50-64 - Midwest,Neurology audience aged 50-64 in the Midwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Neurology"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",361,2024-09-25T11:56:17
102,Pulmonology 65+ - Southwest,Pulmonology audience aged 65+ in the Southwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southwest"", ""risk_profile"": ""Moderate risk""}",287,2026-04-12T17:26:11
103,Primary Care 50-64 - Northeast,Primary Care audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Primary Care"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",347,2025-06-13T09:48:42
104,Dermatology 65+ - Midwest,Dermatology audience aged 65+ in the Midwest region,"{""age_band"": ""65+"", ""specialty_interest"": ""Dermatology"", ""region"": ""Midwest"", ""risk_profile"": ""Low risk""}",149,2024-05-20T04:10:34
105,Cardiology 50-64 - Midwest,Cardiology audience aged 50-64 in the Midwest region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Cardiology"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",336,2024-11-02T16:27:43
106,Neurology 65+ - Southeast,Neurology audience aged 65+ in the Southeast region,"{""age_band"": ""65+"", ""specialty_interest"": ""Neurology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",139,2026-04-12T04:49:36
107,Oncology 50-64 - Northeast,Oncology audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Oncology"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",380,2025-07-17T07:18:48
108,Neurology 35-49 - Northeast,Neurology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",464,2025-06-03T23:19:51
109,Neurology 35-49 - Northeast,Neurology audience aged 35-49 in the Northeast region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Neurology"", ""region"": ""Northeast"", ""risk_profile"": ""Low risk""}",212,2024-12-30T01:07:09
110,Cardiology 65+ - National,Cardiology audience aged 65+ in the National region,"{""age_band"": ""65+"", ""specialty_interest"": ""Cardiology"", ""region"": ""National"", ""risk_profile"": ""Low risk""}",3,2025-06-18T23:18:55
111,Dermatology 35-49 - National,Dermatology audience aged 35-49 in the National region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Dermatology"", ""region"": ""National"", ""risk_profile"": ""Moderate risk""}",245,2025-09-04T18:55:12
112,Primary Care 35-49 - Midwest,Primary Care audience aged 35-49 in the Midwest region,"{""age_band"": ""35-49"", ""specialty_interest"": ""Primary Care"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",331,2024-06-02T10:52:13
113,Neurology 18-34 - West,Neurology audience aged 18-34 in the West region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Neurology"", ""region"": ""West"", ""risk_profile"": ""High risk""}",371,2026-02-06T23:21:28
114,Oncology 18-34 - Southwest,Oncology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Oncology"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",479,2026-04-01T19:14:07
115,Dermatology 18-34 - Southwest,Dermatology audience aged 18-34 in the Southwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Dermatology"", ""region"": ""Southwest"", ""risk_profile"": ""Low risk""}",480,2025-11-20T06:25:53
116,Diabetes 50-64 - Northeast,Diabetes audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Diabetes"", ""region"": ""Northeast"", ""risk_profile"": ""Moderate risk""}",291,2025-07-29T16:41:20
117,Pulmonology 18-34 - Midwest,Pulmonology audience aged 18-34 in the Midwest region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Midwest"", ""risk_profile"": ""Moderate risk""}",329,2025-06-13T11:51:18
118,Oncology 65+ - West,Oncology audience aged 65+ in the West region,"{""age_band"": ""65+"", ""specialty_interest"": ""Oncology"", ""region"": ""West"", ""risk_profile"": ""Moderate risk""}",140,2024-09-14T06:15:53
119,Pulmonology 18-34 - Southeast,Pulmonology audience aged 18-34 in the Southeast region,"{""age_band"": ""18-34"", ""specialty_interest"": ""Pulmonology"", ""region"": ""Southeast"", ""risk_profile"": ""High risk""}",235,2025-09-03T00:54:52
120,Oncology 50-64 - Northeast,Oncology audience aged 50-64 in the Northeast region,"{""age_band"": ""50-64"", ""specialty_interest"": ""Oncology"", ""region"": ""Northeast"", ""risk_profile"": ""High risk""}",173,2025-12-22T16:58:39
