campaign_id,title,description,product,channel,target_region,start_date,end_date,owner_id,budget,status
23,VitalPath Display Ads Campaign 23,Marketing campaign for VitalPath through Display Ads,VitalPath,Display Ads,Midwest,2025-01-13,2025-03-28,50,81770.64,planned
24,CardioPlus SMS Campaign 24,Marketing campaign for CardioPlus through SMS,CardioPlus,SMS,National,2026-01-06,2026-04-20,59,163048.57,active
25,OncoGuide Referral Campaign 25,Marketing campaign for OncoGuide through Referral,OncoGuide,Referral,West,2026-04-09,2026-07-26,125,42553.52,paused
26,CareBridge Organic Search Campaign 26,Marketing campaign for CareBridge through Organic Search,CareBridge,Organic Search,National,2025-04-11,2025-05-24,409,49037.57,paused
27,NeuroWell Display Ads Campaign 27,Marketing campaign for NeuroWell through Display Ads,NeuroWell,Display Ads,Southwest,2025-02-18,2025-03-07,378,149274.18,planned
28,RespiraCare Paid Search Campaign 28,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,West,2025-10-16,2025-11-26,106,145604.93,active
29,VitalPath Paid Search Campaign 29,Marketing campaign for VitalPath through Paid Search,VitalPath,Paid Search,Southwest,2025-01-26,2025-03-22,101,67801.29,completed
30,CareBridge Content Marketing Campaign 30,Marketing campaign for CareBridge through Content Marketing,CareBridge,Content Marketing,Midwest,2025-07-25,2025-09-26,313,31215.32,paused
31,RespiraCare Content Marketing Campaign 31,Marketing campaign for RespiraCare through Content Marketing,RespiraCare,Content Marketing,National,2025-08-10,2025-09-15,417,148771.59,active
32,RespiraCare Paid Search Campaign 32,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,National,2024-12-16,2025-01-14,123,48212.0,active
33,OncoGuide Content Marketing Campaign 33,Marketing campaign for OncoGuide through Content Marketing,OncoGuide,Content Marketing,Southeast,2025-05-19,2025-07-21,215,97776.36,paused
34,OncoGuide Referral Campaign 34,Marketing campaign for OncoGuide through Referral,OncoGuide,Referral,Midwest,2025-08-24,2025-11-14,356,44215.78,active
35,VitalPath Content Marketing Campaign 35,Marketing campaign for VitalPath through Content Marketing,VitalPath,Content Marketing,Midwest,2024-09-09,2024-11-02,432,16241.98,planned
36,CareBridge Referral Campaign 36,Marketing campaign for CareBridge through Referral,CareBridge,Referral,Southwest,2025-04-28,2025-05-29,100,127843.19,paused
37,VitalPath Display Ads Campaign 37,Marketing campaign for VitalPath through Display Ads,VitalPath,Display Ads,West,2025-10-01,2025-12-16,213,44311.61,planned
38,RespiraCare Email Campaign 38,Marketing campaign for RespiraCare through Email,RespiraCare,Email,West,2025-12-26,2026-04-16,113,70888.67,completed
39,VitalPath Referral Campaign 39,Marketing campaign for VitalPath through Referral,VitalPath,Referral,West,2024-08-26,2024-12-17,235,129169.08,planned
40,DermAssist Referral Campaign 40,Marketing campaign for DermAssist through Referral,DermAssist,Referral,Northeast,2024-11-11,2025-03-04,279,206184.9,paused
41,GlucoTrack Social Media Campaign 41,Marketing campaign for GlucoTrack through Social Media,GlucoTrack,Social Media,Northeast,2025-06-15,2025-07-26,218,76534.11,paused
42,GlucoTrack Display Ads Campaign 42,Marketing campaign for GlucoTrack through Display Ads,GlucoTrack,Display Ads,Northeast,2024-11-07,2025-01-04,442,216726.75,active
43,DermAssist Content Marketing Campaign 43,Marketing campaign for DermAssist through Content Marketing,DermAssist,Content Marketing,Southeast,2024-09-27,2025-01-22,378,159294.35,active
44,NeuroWell Email Campaign 44,Marketing campaign for NeuroWell through Email,NeuroWell,Email,West,2025-12-18,2026-01-27,417,143808.36,completed
45,DermAssist Webinar Campaign 45,Marketing campaign for DermAssist through Webinar,DermAssist,Webinar,Midwest,2025-07-25,2025-10-15,87,74465.31,planned
46,CareBridge Email Campaign 46,Marketing campaign for CareBridge through Email,CareBridge,Email,National,2024-07-31,2024-11-18,403,248144.1,active
47,OncoGuide SMS Campaign 47,Marketing campaign for OncoGuide through SMS,OncoGuide,SMS,National,2025-10-14,2025-11-13,128,207635.01,paused
48,RespiraCare Provider Outreach Campaign 48,Marketing campaign for RespiraCare through Provider Outreach,RespiraCare,Provider Outreach,Northeast,2025-05-02,2025-06-03,296,95667.56,planned
49,RespiraCare SMS Campaign 49,Marketing campaign for RespiraCare through SMS,RespiraCare,SMS,Southwest,2025-02-24,2025-05-14,384,115309.83,completed
50,GlucoTrack Display Ads Campaign 50,Marketing campaign for GlucoTrack through Display Ads,GlucoTrack,Display Ads,National,2025-07-13,2025-07-27,445,159805.61,completed
51,CareBridge Social Media Campaign 51,Marketing campaign for CareBridge through Social Media,CareBridge,Social Media,Southeast,2026-02-06,2026-02-28,408,242127.76,paused
52,RespiraCare SMS Campaign 52,Marketing campaign for RespiraCare through SMS,RespiraCare,SMS,Southeast,2024-11-12,2025-01-06,425,138185.7,paused
53,CardioPlus Email Campaign 53,Marketing campaign for CardioPlus through Email,CardioPlus,Email,Southwest,2025-12-20,2026-02-15,458,27594.96,planned
54,VitalPath Email Campaign 54,Marketing campaign for VitalPath through Email,VitalPath,Email,Southwest,2024-07-22,2024-08-25,226,247984.04,active
55,RespiraCare Organic Search Campaign 55,Marketing campaign for RespiraCare through Organic Search,RespiraCare,Organic Search,Midwest,2025-10-04,2025-11-03,452,218982.57,planned
56,GlucoTrack SMS Campaign 56,Marketing campaign for GlucoTrack through SMS,GlucoTrack,SMS,National,2025-09-07,2025-11-06,129,167133.68,active
57,RespiraCare Social Media Campaign 57,Marketing campaign for RespiraCare through Social Media,RespiraCare,Social Media,Northeast,2024-05-27,2024-07-30,321,109020.04,planned
58,GlucoTrack Organic Search Campaign 58,Marketing campaign for GlucoTrack through Organic Search,GlucoTrack,Organic Search,West,2024-04-18,2024-05-29,245,149638.84,paused
59,DermAssist Paid Search Campaign 59,Marketing campaign for DermAssist through Paid Search,DermAssist,Paid Search,Southwest,2024-04-24,2024-05-09,357,247074.26,active
60,CareBridge Paid Search Campaign 60,Marketing campaign for CareBridge through Paid Search,CareBridge,Paid Search,Northeast,2025-04-23,2025-05-16,118,183498.56,planned
61,RespiraCare Organic Search Campaign 61,Marketing campaign for RespiraCare through Organic Search,RespiraCare,Organic Search,Southeast,2024-12-16,2025-02-15,452,97532.1,active
62,CardioPlus Content Marketing Campaign 62,Marketing campaign for CardioPlus through Content Marketing,CardioPlus,Content Marketing,Southwest,2024-06-09,2024-08-29,289,163554.99,completed
63,OncoGuide Provider Outreach Campaign 63,Marketing campaign for OncoGuide through Provider Outreach,OncoGuide,Provider Outreach,Southwest,2025-10-30,2025-12-10,322,155170.78,active
64,GlucoTrack Content Marketing Campaign 64,Marketing campaign for GlucoTrack through Content Marketing,GlucoTrack,Content Marketing,Midwest,2024-06-23,2024-07-19,72,183312.26,paused
65,NeuroWell Webinar Campaign 65,Marketing campaign for NeuroWell through Webinar,NeuroWell,Webinar,Southeast,2024-12-17,2025-04-11,72,162221.28,completed
66,RespiraCare Social Media Campaign 66,Marketing campaign for RespiraCare through Social Media,RespiraCare,Social Media,West,2025-12-13,2026-03-25,14,130884.03,active
67,CardioPlus Social Media Campaign 67,Marketing campaign for CardioPlus through Social Media,CardioPlus,Social Media,Northeast,2025-11-19,2026-01-22,152,125237.27,active
68,GlucoTrack Referral Campaign 68,Marketing campaign for GlucoTrack through Referral,GlucoTrack,Referral,Northeast,2025-05-10,2025-08-13,305,222514.96,completed
69,CareBridge SMS Campaign 69,Marketing campaign for CareBridge through SMS,CareBridge,SMS,Southeast,2024-12-19,2025-01-18,199,137949.99,paused
70,GlucoTrack Email Campaign 70,Marketing campaign for GlucoTrack through Email,GlucoTrack,Email,Northeast,2025-12-06,2025-12-29,9,67759.76,planned
71,RespiraCare Referral Campaign 71,Marketing campaign for RespiraCare through Referral,RespiraCare,Referral,Southwest,2025-12-21,2026-02-23,260,192476.17,paused
72,OncoGuide Webinar Campaign 72,Marketing campaign for OncoGuide through Webinar,OncoGuide,Webinar,Northeast,2024-06-20,2024-09-23,275,23648.48,active
73,DermAssist Provider Outreach Campaign 73,Marketing campaign for DermAssist through Provider Outreach,DermAssist,Provider Outreach,National,2026-01-05,2026-02-07,275,147849.98,planned
74,NeuroWell Email Campaign 74,Marketing campaign for NeuroWell through Email,NeuroWell,Email,Southwest,2024-12-14,2025-03-27,224,63386.5,planned
75,CardioPlus Webinar Campaign 75,Marketing campaign for CardioPlus through Webinar,CardioPlus,Webinar,National,2025-04-04,2025-07-05,312,167521.66,active
76,OncoGuide Email Campaign 76,Marketing campaign for OncoGuide through Email,OncoGuide,Email,Midwest,2024-07-19,2024-08-03,363,43466.66,completed
77,RespiraCare Paid Search Campaign 77,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,Northeast,2024-08-25,2024-10-25,65,193543.28,completed
78,GlucoTrack Webinar Campaign 78,Marketing campaign for GlucoTrack through Webinar,GlucoTrack,Webinar,West,2026-01-04,2026-03-13,140,178943.84,planned
79,DermAssist Email Campaign 79,Marketing campaign for DermAssist through Email,DermAssist,Email,West,2025-05-07,2025-07-18,262,126403.67,active
80,GlucoTrack Content Marketing Campaign 80,Marketing campaign for GlucoTrack through Content Marketing,GlucoTrack,Content Marketing,Northeast,2025-01-28,2025-03-03,131,169507.75,active
81,CardioPlus Email Campaign 81,Marketing campaign for CardioPlus through Email,CardioPlus,Email,Southwest,2025-11-13,2026-01-31,2,63404.21,completed
82,CardioPlus Referral Campaign 82,Marketing campaign for CardioPlus through Referral,CardioPlus,Referral,National,2025-02-08,2025-03-13,92,201369.53,paused
83,CareBridge SMS Campaign 83,Marketing campaign for CareBridge through SMS,CareBridge,SMS,Northeast,2024-10-08,2024-12-02,128,70000.72,completed
84,CardioPlus Organic Search Campaign 84,Marketing campaign for CardioPlus through Organic Search,CardioPlus,Organic Search,West,2024-07-19,2024-10-05,345,58126.71,planned
85,VitalPath Webinar Campaign 85,Marketing campaign for VitalPath through Webinar,VitalPath,Webinar,Midwest,2025-02-22,2025-03-16,450,194061.29,completed
86,CardioPlus SMS Campaign 86,Marketing campaign for CardioPlus through SMS,CardioPlus,SMS,West,2024-06-23,2024-09-15,234,52565.77,completed
87,VitalPath SMS Campaign 87,Marketing campaign for VitalPath through SMS,VitalPath,SMS,Southwest,2025-11-12,2026-02-13,125,149147.66,active
88,NeuroWell Organic Search Campaign 88,Marketing campaign for NeuroWell through Organic Search,NeuroWell,Organic Search,Southwest,2025-11-07,2026-01-29,390,4575.34,planned
89,CardioPlus SMS Campaign 89,Marketing campaign for CardioPlus through SMS,CardioPlus,SMS,National,2024-10-15,2025-01-06,178,3361.12,paused
90,RespiraCare Paid Search Campaign 90,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,Southeast,2026-02-05,2026-05-24,373,53683.01,paused
91,OncoGuide Webinar Campaign 91,Marketing campaign for OncoGuide through Webinar,OncoGuide,Webinar,Southeast,2025-05-04,2025-05-25,498,25977.58,paused
92,GlucoTrack Content Marketing Campaign 92,Marketing campaign for GlucoTrack through Content Marketing,GlucoTrack,Content Marketing,Southeast,2025-10-13,2025-12-13,235,26607.52,paused
93,CardioPlus Provider Outreach Campaign 93,Marketing campaign for CardioPlus through Provider Outreach,CardioPlus,Provider Outreach,Southeast,2024-06-14,2024-09-11,291,166623.65,active
94,DermAssist Provider Outreach Campaign 94,Marketing campaign for DermAssist through Provider Outreach,DermAssist,Provider Outreach,National,2024-11-30,2025-01-16,436,176079.22,completed
95,NeuroWell Paid Search Campaign 95,Marketing campaign for NeuroWell through Paid Search,NeuroWell,Paid Search,Southeast,2024-12-20,2025-03-01,140,236058.01,planned
96,VitalPath Display Ads Campaign 96,Marketing campaign for VitalPath through Display Ads,VitalPath,Display Ads,Northeast,2024-08-16,2024-09-12,85,80566.22,completed
97,RespiraCare Display Ads Campaign 97,Marketing campaign for RespiraCare through Display Ads,RespiraCare,Display Ads,Northeast,2025-12-06,2026-01-15,232,68456.96,planned
98,RespiraCare Content Marketing Campaign 98,Marketing campaign for RespiraCare through Content Marketing,RespiraCare,Content Marketing,Midwest,2024-08-17,2024-12-12,352,12961.46,active
99,DermAssist Provider Outreach Campaign 99,Marketing campaign for DermAssist through Provider Outreach,DermAssist,Provider Outreach,National,2024-06-27,2024-10-10,128,129824.54,completed
100,CardioPlus Provider Outreach Campaign 100,Marketing campaign for CardioPlus through Provider Outreach,CardioPlus,Provider Outreach,West,2024-11-05,2025-03-03,90,214086.52,active
101,OncoGuide Paid Search Campaign 101,Marketing campaign for OncoGuide through Paid Search,OncoGuide,Paid Search,Southeast,2024-06-30,2024-09-11,53,5953.36,active
102,DermAssist Paid Search Campaign 102,Marketing campaign for DermAssist through Paid Search,DermAssist,Paid Search,Midwest,2024-09-18,2025-01-15,206,146833.98,planned
103,VitalPath Organic Search Campaign 103,Marketing campaign for VitalPath through Organic Search,VitalPath,Organic Search,Midwest,2024-05-04,2024-05-26,102,25718.72,planned
104,OncoGuide Content Marketing Campaign 104,Marketing campaign for OncoGuide through Content Marketing,OncoGuide,Content Marketing,National,2024-05-20,2024-08-01,26,109989.63,paused
105,CareBridge Organic Search Campaign 105,Marketing campaign for CareBridge through Organic Search,CareBridge,Organic Search,Southeast,2025-05-07,2025-05-24,196,90423.98,completed
106,OncoGuide Email Campaign 106,Marketing campaign for OncoGuide through Email,OncoGuide,Email,West,2024-11-20,2025-01-30,453,154684.32,active
107,CareBridge Referral Campaign 107,Marketing campaign for CareBridge through Referral,CareBridge,Referral,Northeast,2025-09-02,2025-10-23,256,121320.64,completed
108,NeuroWell Referral Campaign 108,Marketing campaign for NeuroWell through Referral,NeuroWell,Referral,West,2025-02-08,2025-03-11,215,64539.5,planned
109,DermAssist Display Ads Campaign 109,Marketing campaign for DermAssist through Display Ads,DermAssist,Display Ads,Southwest,2025-02-08,2025-06-02,366,137495.9,completed
110,DermAssist Provider Outreach Campaign 110,Marketing campaign for DermAssist through Provider Outreach,DermAssist,Provider Outreach,Northeast,2026-03-27,2026-06-21,258,69797.61,completed
111,RespiraCare Email Campaign 111,Marketing campaign for RespiraCare through Email,RespiraCare,Email,Southwest,2025-07-25,2025-09-05,16,202737.51,completed
112,OncoGuide Paid Search Campaign 112,Marketing campaign for OncoGuide through Paid Search,OncoGuide,Paid Search,Southeast,2025-12-04,2026-03-02,120,64220.69,completed
113,CardioPlus Social Media Campaign 113,Marketing campaign for CardioPlus through Social Media,CardioPlus,Social Media,Southwest,2025-06-06,2025-10-02,406,145195.95,completed
114,NeuroWell Content Marketing Campaign 114,Marketing campaign for NeuroWell through Content Marketing,NeuroWell,Content Marketing,National,2026-01-29,2026-03-06,91,81547.08,completed
115,DermAssist Content Marketing Campaign 115,Marketing campaign for DermAssist through Content Marketing,DermAssist,Content Marketing,West,2026-03-28,2026-06-25,15,142210.8,active
116,VitalPath Referral Campaign 116,Marketing campaign for VitalPath through Referral,VitalPath,Referral,Southwest,2026-01-27,2026-05-24,452,79336.11,planned
117,NeuroWell Email Campaign 117,Marketing campaign for NeuroWell through Email,NeuroWell,Email,Northeast,2024-06-26,2024-07-17,120,133032.78,completed
118,OncoGuide SMS Campaign 118,Marketing campaign for OncoGuide through SMS,OncoGuide,SMS,Midwest,2026-03-31,2026-07-01,104,180083.6,planned
119,OncoGuide Paid Search Campaign 119,Marketing campaign for OncoGuide through Paid Search,OncoGuide,Paid Search,Midwest,2024-05-04,2024-06-05,301,212080.78,planned
120,CareBridge Content Marketing Campaign 120,Marketing campaign for CareBridge through Content Marketing,CareBridge,Content Marketing,Midwest,2025-02-01,2025-05-16,483,27954.95,completed
121,CareBridge Display Ads Campaign 121,Marketing campaign for CareBridge through Display Ads,CareBridge,Display Ads,Southeast,2024-08-01,2024-09-04,375,163347.53,completed
122,OncoGuide Provider Outreach Campaign 122,Marketing campaign for OncoGuide through Provider Outreach,OncoGuide,Provider Outreach,National,2024-10-07,2025-01-14,302,78785.34,completed
123,CardioPlus Content Marketing Campaign 123,Marketing campaign for CardioPlus through Content Marketing,CardioPlus,Content Marketing,West,2024-07-25,2024-08-30,374,99725.55,planned
124,NeuroWell Content Marketing Campaign 124,Marketing campaign for NeuroWell through Content Marketing,NeuroWell,Content Marketing,Southwest,2024-09-05,2024-12-05,163,28715.23,active
125,NeuroWell SMS Campaign 125,Marketing campaign for NeuroWell through SMS,NeuroWell,SMS,Southeast,2024-12-30,2025-04-18,40,245647.77,planned
126,DermAssist Display Ads Campaign 126,Marketing campaign for DermAssist through Display Ads,DermAssist,Display Ads,Southeast,2026-01-15,2026-04-29,344,5814.72,active
127,RespiraCare Paid Search Campaign 127,Marketing campaign for RespiraCare through Paid Search,RespiraCare,Paid Search,Northeast,2025-10-07,2025-10-29,180,180942.16,paused
128,OncoGuide Provider Outreach Campaign 128,Marketing campaign for OncoGuide through Provider Outreach,OncoGuide,Provider Outreach,Southwest,2025-03-23,2025-07-08,215,124791.25,completed
129,VitalPath Content Marketing Campaign 129,Marketing campaign for VitalPath through Content Marketing,VitalPath,Content Marketing,National,2025-06-15,2025-08-16,52,163789.48,active
130,CardioPlus Webinar Campaign 130,Marketing campaign for CardioPlus through Webinar,CardioPlus,Webinar,Midwest,2024-08-21,2024-10-31,38,7959.27,planned
131,CareBridge Organic Search Campaign 131,Marketing campaign for CareBridge through Organic Search,CareBridge,Organic Search,West,2024-06-14,2024-08-10,88,183800.32,planned
132,VitalPath Email Campaign 132,Marketing campaign for VitalPath through Email,VitalPath,Email,National,2025-01-04,2025-04-04,315,109536.86,active
133,CardioPlus Paid Search Campaign 133,Marketing campaign for CardioPlus through Paid Search,CardioPlus,Paid Search,Southeast,2025-08-02,2025-10-10,81,84780.36,paused
134,RespiraCare Webinar Campaign 134,Marketing campaign for RespiraCare through Webinar,RespiraCare,Webinar,Northeast,2025-10-11,2026-01-03,370,76457.96,planned
135,VitalPath Organic Search Campaign 135,Marketing campaign for VitalPath through Organic Search,VitalPath,Organic Search,Northeast,2025-02-16,2025-05-14,282,16462.7,paused
136,VitalPath Social Media Campaign 136,Marketing campaign for VitalPath through Social Media,VitalPath,Social Media,Southeast,2024-06-24,2024-08-14,422,26955.76,active
137,VitalPath Paid Search Campaign 137,Marketing campaign for VitalPath through Paid Search,VitalPath,Paid Search,Southwest,2025-08-26,2025-10-16,42,79163.29,paused
138,GlucoTrack Referral Campaign 138,Marketing campaign for GlucoTrack through Referral,GlucoTrack,Referral,Midwest,2025-05-02,2025-08-08,136,98719.2,paused
139,CardioPlus Webinar Campaign 139,Marketing campaign for CardioPlus through Webinar,CardioPlus,Webinar,Midwest,2025-01-29,2025-03-07,229,111615.88,active
140,CardioPlus Organic Search Campaign 140,Marketing campaign for CardioPlus through Organic Search,CardioPlus,Organic Search,National,2026-01-27,2026-03-16,289,188802.08,planned
141,CareBridge Content Marketing Campaign 141,Marketing campaign for CareBridge through Content Marketing,CareBridge,Content Marketing,Northeast,2024-06-23,2024-09-30,177,59195.65,paused
142,VitalPath Content Marketing Campaign 142,Marketing campaign for VitalPath through Content Marketing,VitalPath,Content Marketing,Southwest,2026-01-13,2026-04-03,215,220768.51,completed
143,CardioPlus Referral Campaign 143,Marketing campaign for CardioPlus through Referral,CardioPlus,Referral,West,2024-06-17,2024-08-20,463,144091.32,active
144,OncoGuide Organic Search Campaign 144,Marketing campaign for OncoGuide through Organic Search,OncoGuide,Organic Search,Southeast,2024-07-19,2024-11-06,230,243124.72,active
145,CareBridge Social Media Campaign 145,Marketing campaign for CareBridge through Social Media,CareBridge,Social Media,National,2024-05-20,2024-07-27,41,249325.5,active
146,DermAssist Paid Search Campaign 146,Marketing campaign for DermAssist through Paid Search,DermAssist,Paid Search,West,2026-01-25,2026-04-25,133,24495.78,paused
147,RespiraCare Referral Campaign 147,Marketing campaign for RespiraCare through Referral,RespiraCare,Referral,Northeast,2025-06-20,2025-08-14,439,116164.82,paused
148,OncoGuide Content Marketing Campaign 148,Marketing campaign for OncoGuide through Content Marketing,OncoGuide,Content Marketing,Northeast,2024-07-13,2024-09-18,77,148219.73,planned
149,RespiraCare Referral Campaign 149,Marketing campaign for RespiraCare through Referral,RespiraCare,Referral,Southwest,2025-06-28,2025-10-19,52,220393.54,completed
150,VitalPath Email Campaign 150,Marketing campaign for VitalPath through Email,VitalPath,Email,Southwest,2025-02-09,2025-05-17,249,45533.33,active
151,CareBridge Email Campaign 151,Marketing campaign for CareBridge through Email,CareBridge,Email,Midwest,2025-08-10,2025-11-09,349,100760.81,active
152,RespiraCare SMS Campaign 152,Marketing campaign for RespiraCare through SMS,RespiraCare,SMS,Midwest,2024-05-25,2024-09-11,244,7997.52,completed
153,GlucoTrack Social Media Campaign 153,Marketing campaign for GlucoTrack through Social Media,GlucoTrack,Social Media,National,2024-11-21,2025-02-05,440,36193.22,paused
154,RespiraCare Provider Outreach Campaign 154,Marketing campaign for RespiraCare through Provider Outreach,RespiraCare,Provider Outreach,Northeast,2025-12-09,2026-04-07,165,152429.85,active
155,CareBridge Display Ads Campaign 155,Marketing campaign for CareBridge through Display Ads,CareBridge,Display Ads,Midwest,2025-03-26,2025-05-06,468,190594.84,planned
156,GlucoTrack Webinar Campaign 156,Marketing campaign for GlucoTrack through Webinar,GlucoTrack,Webinar,Southwest,2025-05-22,2025-09-14,82,178263.64,active
157,CardioPlus Organic Search Campaign 157,Marketing campaign for CardioPlus through Organic Search,CardioPlus,Organic Search,Southeast,2025-12-14,2026-03-05,451,50612.57,planned
158,CardioPlus SMS Campaign 158,Marketing campaign for CardioPlus through SMS,CardioPlus,SMS,Midwest,2024-10-28,2024-11-15,234,177044.58,completed
159,CareBridge Paid Search Campaign 159,Marketing campaign for CareBridge through Paid Search,CareBridge,Paid Search,Southeast,2026-01-17,2026-03-31,259,171250.07,completed
160,OncoGuide Display Ads Campaign 160,Marketing campaign for OncoGuide through Display Ads,OncoGuide,Display Ads,Midwest,2025-05-02,2025-07-31,229,147959.42,completed
161,GlucoTrack Webinar Campaign 161,Marketing campaign for GlucoTrack through Webinar,GlucoTrack,Webinar,Northeast,2024-08-22,2024-10-08,384,9780.27,active
162,NeuroWell Social Media Campaign 162,Marketing campaign for NeuroWell through Social Media,NeuroWell,Social Media,National,2026-02-09,2026-05-07,400,162902.83,active
163,CardioPlus Email Campaign 163,Marketing campaign for CardioPlus through Email,CardioPlus,Email,Southeast,2024-11-12,2025-02-17,210,120102.01,active
164,NeuroWell Webinar Campaign 164,Marketing campaign for NeuroWell through Webinar,NeuroWell,Webinar,Midwest,2025-07-28,2025-11-21,5,153260.94,completed
165,DermAssist Display Ads Campaign 165,Marketing campaign for DermAssist through Display Ads,DermAssist,Display Ads,Southwest,2025-03-12,2025-05-13,437,65243.68,completed
166,CareBridge Content Marketing Campaign 166,Marketing campaign for CareBridge through Content Marketing,CareBridge,Content Marketing,West,2025-09-25,2025-12-14,423,28271.09,completed
167,RespiraCare Webinar Campaign 167,Marketing campaign for RespiraCare through Webinar,RespiraCare,Webinar,Southwest,2025-06-27,2025-10-01,305,172050.04,planned
168,DermAssist Webinar Campaign 168,Marketing campaign for DermAssist through Webinar,DermAssist,Webinar,National,2025-01-03,2025-02-21,328,67503.29,completed
169,NeuroWell Email Campaign 169,Marketing campaign for NeuroWell through Email,NeuroWell,Email,West,2024-09-10,2024-10-13,265,201941.17,paused
170,OncoGuide Email Campaign 170,Marketing campaign for OncoGuide through Email,OncoGuide,Email,Midwest,2025-09-12,2025-11-05,349,164883.94,completed
171,CareBridge Email Campaign 171,Marketing campaign for CareBridge through Email,CareBridge,Email,West,2026-03-22,2026-05-28,208,147006.85,active
172,NeuroWell Referral Campaign 172,Marketing campaign for NeuroWell through Referral,NeuroWell,Referral,Southwest,2025-01-09,2025-04-25,366,160663.46,completed
173,OncoGuide Referral Campaign 173,Marketing campaign for OncoGuide through Referral,OncoGuide,Referral,Northeast,2025-05-16,2025-07-07,433,47740.56,paused
174,OncoGuide SMS Campaign 174,Marketing campaign for OncoGuide through SMS,OncoGuide,SMS,Southeast,2024-07-25,2024-11-10,133,164645.36,completed
175,RespiraCare Provider Outreach Campaign 175,Marketing campaign for RespiraCare through Provider Outreach,RespiraCare,Provider Outreach,Midwest,2024-10-07,2025-01-24,447,197658.34,completed
176,VitalPath Paid Search Campaign 176,Marketing campaign for VitalPath through Paid Search,VitalPath,Paid Search,National,2024-11-05,2025-02-01,151,119222.53,planned
